Designator,Footprint,Quantity,Value,LCSC Part #
J1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,LED,
J2,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,control_signal,
J3,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,power in,
Q1,TO-220-3_Vertical,1,MJE13005G,
R1,R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal,1,110,
R2,TO-220-2_Vertical,1,0.5,
R3,R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal,1,0.5,
R4,R_Axial_Power_L38.0mm_W9.0mm_P45.72mm,1,0.5,
RV1,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,200,
