Designator,Mid X,Mid Y,Rotation,Layer
J1,104.025,-142.25,90.0,top
J2,94.975,-104.25,270.0,top
J3,104.0,-129.5,90.0,top
Q1,94.055,-142.5,90.0,top
R1,103.0,-109.88,270.0,top
R2,94.055,-129.46,90.0,top
R3,83.75,-126.29,90.0,top
R4,83.75,-123.5,90.0,top
RV1,94.975,-116.5,270.0,top
